Sukhumi,Ouagadougou,"{""destination_addresses""=>[""Ouagadougou, Burkina Faso""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""8,377 km"", ""value""=>8377298}, ""duration""=>{""text""=>""5 days 0 hours"", ""value""=>432003}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
Sukhumi,Bujumbura,"{""destination_addresses""=>[""Bujumbura, Burundi""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""7,519 km"", ""value""=>7518610}, ""duration""=>{""text""=>""5 days 13 hours"", ""value""=>479582}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
Sukhumi,Phnom Penh,"{""destination_addresses""=>[""Phnom Penh, Cambodia""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Yaoundé,"{""destination_addresses""=>[""Yaounde, Cameroon""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""9,060 km"", ""value""=>9060311}, ""duration""=>{""text""=>""5 days 11 hours"", ""value""=>473321}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
Sukhumi,Ottawa,"{""destination_addresses""=>[""Ottawa, ON, Canada""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Praia,"{""destination_addresses""=>[""Praia, Cape Verde""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,George Town,"{""destination_addresses""=>[""3700 O St NW, Washington, DC 20057, USA""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Bangui,"{""destination_addresses""=>[""Bangui, Central African Republic""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""7,181 km"", ""value""=>7181418}, ""duration""=>{""text""=>""5 days 5 hours"", ""value""=>450064}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
Sukhumi,N'Djamena,"{""destination_addresses""=>[""N'Djamena, Chad""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""6,685 km"", ""value""=>6684506}, ""duration""=>{""text""=>""4 days 23 hours"", ""value""=>427552}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
Sukhumi,Santiago,"{""destination_addresses""=>[""Santiago, Santiago Metropolitan Region, Chile""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Beijing,"{""destination_addresses""=>[""Beijing, China""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
